time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-19 00:00:00+00:00,86,7,0,0
2026-06-20 00:00:00+00:00,46,8,0,0
2026-06-21 00:00:00+00:00,14,5,0,0
2026-06-22 00:00:00+00:00,19,6,0,0
2026-06-23 00:00:00+00:00,24,10,0,0
2026-06-24 00:00:00+00:00,15,5,0,0
2026-06-25 00:00:00+00:00,26,6,0,0
2026-06-26 00:00:00+00:00,4,4,1,1
2026-06-27 00:00:00+00:00,92,26,0,0
2026-06-28 00:00:00+00:00,15,6,0,0
2026-06-29 00:00:00+00:00,20,10,0,0
2026-06-30 00:00:00+00:00,16,7,2,1
2026-07-01 00:00:00+00:00,8,3,0,0
2026-07-02 00:00:00+00:00,20,10,0,0
