time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-16 00:00:00+00:00,0,0,0,0
2026-05-17 00:00:00+00:00,0,0,0,0
2026-05-18 00:00:00+00:00,38,12,0,0
2026-05-19 00:00:00+00:00,3,3,0,0
2026-05-20 00:00:00+00:00,68,23,0,0
2026-05-21 00:00:00+00:00,31,13,0,0
2026-05-22 00:00:00+00:00,91,11,0,0
2026-05-23 00:00:00+00:00,47,20,0,0
2026-05-24 00:00:00+00:00,70,10,0,0
2026-05-25 00:00:00+00:00,92,6,0,0
2026-05-26 00:00:00+00:00,1,1,0,0
2026-05-27 00:00:00+00:00,0,0,0,0
2026-05-28 00:00:00+00:00,30,7,0,0
2026-05-29 00:00:00+00:00,30,3,0,0
2026-05-30 00:00:00+00:00,137,24,0,0
2026-05-31 00:00:00+00:00,127,14,0,0
2026-06-01 00:00:00+00:00,24,7,0,0
2026-06-02 00:00:00+00:00,84,11,0,0
2026-06-03 00:00:00+00:00,17,5,0,0
2026-06-04 00:00:00+00:00,71,18,0,0
2026-06-05 00:00:00+00:00,273,36,2,2
2026-06-06 00:00:00+00:00,30,9,0,0
2026-06-07 00:00:00+00:00,27,6,1,1
2026-06-08 00:00:00+00:00,24,7,0,0
2026-06-09 00:00:00+00:00,20,3,2,2
2026-06-10 00:00:00+00:00,24,5,1,1
2026-06-11 00:00:00+00:00,34,11,1,1
2026-06-12 00:00:00+00:00,34,7,3,1
2026-06-13 00:00:00+00:00,29,8,0,0
2026-06-14 00:00:00+00:00,196,19,1,1
2026-06-15 00:00:00+00:00,33,7,1,1
2026-06-16 00:00:00+00:00,73,9,0,0
2026-06-17 00:00:00+00:00,23,7,0,0
2026-06-18 00:00:00+00:00,18,7,0,0
2026-06-19 00:00:00+00:00,86,7,0,0
2026-06-20 00:00:00+00:00,46,8,0,0
2026-06-21 00:00:00+00:00,14,5,0,0
2026-06-22 00:00:00+00:00,19,6,0,0
2026-06-23 00:00:00+00:00,24,10,0,0
2026-06-24 00:00:00+00:00,15,5,0,0
2026-06-25 00:00:00+00:00,26,6,0,0
2026-06-26 00:00:00+00:00,4,4,1,1
2026-06-27 00:00:00+00:00,92,26,0,0
2026-06-28 00:00:00+00:00,15,6,0,0
2026-06-29 00:00:00+00:00,20,10,0,0
2026-06-30 00:00:00+00:00,16,7,2,1
2026-07-01 00:00:00+00:00,8,3,0,0
2026-07-02 00:00:00+00:00,20,10,0,0
2026-07-03 00:00:00+00:00,8,3,2,2
2026-07-04 00:00:00+00:00,27,9,0,0
2026-07-05 00:00:00+00:00,2,2,0,0
2026-07-06 00:00:00+00:00,17,7,0,0
2026-07-07 00:00:00+00:00,56,13,0,0
2026-07-08 00:00:00+00:00,35,9,0,0
2026-07-09 00:00:00+00:00,7,6,4,4
2026-07-10 00:00:00+00:00,9,4,2,1
2026-07-11 00:00:00+00:00,18,5,0,0
2026-07-12 00:00:00+00:00,2,2,0,0
2026-07-13 00:00:00+00:00,6,2,0,0
2026-07-14 00:00:00+00:00,14,5,0,0
2026-07-15 00:00:00+00:00,8,3,0,0
2026-07-16 00:00:00+00:00,22,12,0,0
2026-07-17 00:00:00+00:00,21,8,0,0
2026-07-18 00:00:00+00:00,21,8,0,0
2026-07-19 00:00:00+00:00,10,5,0,0
2026-07-20 00:00:00+00:00,10,5,0,0
2026-07-21 00:00:00+00:00,12,4,0,0
2026-07-22 00:00:00+00:00,1,1,0,0
2026-07-23 00:00:00+00:00,21,9,0,0
2026-07-24 00:00:00+00:00,2,2,0,0
2026-07-25 00:00:00+00:00,10,6,0,0
2026-07-26 00:00:00+00:00,13,8,0,0
2026-07-27 00:00:00+00:00,1,1,0,0
2026-07-28 00:00:00+00:00,24,11,0,0
2026-07-29 00:00:00+00:00,1,1,0,0
2026-07-30 00:00:00+00:00,6,6,0,0
2026-07-31 00:00:00+00:00,14,2,3,1
2026-08-01 00:00:00+00:00,14,5,0,0
2026-08-02 00:00:00+00:00,31,5,0,0
2026-08-03 00:00:00+00:00,12,2,0,0
2026-08-04 00:00:00+00:00,17,8,0,0
2026-08-05 00:00:00+00:00,33,11,0,0
2026-08-06 00:00:00+00:00,80,10,0,0
2026-08-07 00:00:00+00:00,5,4,0,0
